product_id,sku,screen_size_inch,resolution,refresh_rate_hz,panel_type,response_time_ms
676255,250520228,23.8,1920 x 1080,180.0,IPS,1.0
676259,250520232,23.8,1920 x 1080,180.0,IPS,1.0
676260,250520233,23.8,1920 x 1080,180.0,IPS,1.0
676261,250520234,23.8,1920 x 1080,180.0,IPS,1.0
676265,250520238,23.8,1920 x 1080,100.0,IPS,1.0
676614,250520582,21.45,Full HD,100.0,VA,4.0
676617,250520590,27.0,,60.0,IPS,6.0
676624,250520596,27.0,Full HD,200.0,IPS,0.5
676902,250520870,27.0,Full HD,100.0,IPS,5.0
678932,250601146,27.0,1920 x 1080,75.0,VA,8.0
680497,250602706,21.5,Full HD,100.0,IPS,1.0
711426,250633615,27.0,Full HD,144.0,IPS,0.5
711427,250633616,24.5,Full HD,120.0,IPS,1.0
711430,250633617,27.0,Full HD,100.0,IPS,1.0
711429,250633618,27.0,Full HD,280.0,VA,0.5
711425,250633619,23.8,Full HD,120.0,IPS,1.0
711431,250633620,23.8,Full HD,100.0,IPS,5.0
711433,250633623,27.0,2K,120.0,IPS,1.0
711437,250633625,27.0,Full HD,180.0,IPS,1.0
711435,250633626,24.5,Full HD,300.0,IPS,0.5
711436,250633627,27.0,2K,180.0,IPS,0.5
711439,250633629,24.5,Full HD,120.0,IPS,1.0
711445,250633631,23.8,Full HD,240.0,IPS,1.0
711443,250633632,27.0,Full HD,200.0,VA,0.5
711444,250633633,27.0,Full HD,100.0,IPS,1.0
711442,250633634,31.5,2K,180.0,VA,0.5
711447,250633636,27.0,Full HD,240.0,IPS,1.0
713345,250635297,34.0,QHD,180.0,VA,1.0
714762,250636706,31.5,,60.0,IPS,5.0
715421,250637363,27.0,2K,180.0,IPS,1.0
715427,250637370,27.0,2K,180.0,IPS,1.0
715434,250637375,34.0,QHD,240.0,OLED,0.03
716699,250638612,27.0,Full HD,240.0,IPS,1.0
716810,250638723,26.5,2K,240.0,OLED,0.03
716812,250638724,27.0,2K,210.0,IPS,1.0
716811,250638725,24.5,Full HD,200.0,IPS,1.0
719854,250640758,27.0,,144.0,IPS,1.0
719860,250640764,27.0,2K,300.0,VA,0.5
724692,250645504,27.0,1920x1080,75.0,IPS,5.0
724757,250645569,,1920 x 1080,75.0,VA,1.0
724772,250645584,,1920 x 1080,75.0,IPS,5.0
724775,250645587,,1920 x 1080,75.0,IPS,5.0
724794,250645606,,1920 x 1080,75.0,VA,1.0
724800,250645612,23.8,1920x1080,75.0,,
725160,250645993,27.0,2K,100.0,IPS,6.0
725161,250645994,21.5,Full HD,100.0,VA,5.0
725162,250645995,31.5,,100.0,IPS,5.0
725163,250645996,34.0,QHD,100.0,IPS,5.0
725189,250646022,27.0,,120.0,IPS,5.0
725230,250646063,23.8,Full HD,100.0,IPS,1.0
750260,250711057,24.0,Full HD,60.0,IPS,5.0
752852,250713730,23.8,2K,100.0,IPS,5.0
754924,250715719,27.0,Full HD,120.0,IPS,4.0
756627,250717334,23.8,Full HD,120.0,IPS,1.0
756629,250717335,27.0,,240.0,IPS,1.0
759322,250719843,27.0,Full HD,240.0,IPS,1.0
762647,250800176,27.0,2K,240.0,IPS,0.5
762654,250800183,27.0,Full HD,240.0,IPS,0.3
764255,250801760,27.0,2K,180.0,IPS,1.0
765777,250803174,27.0,Full HD,100.0,IPS,4.0
765787,250803181,27.0,Full HD,240.0,IPS,0.5
765793,250803188,27.0,2K,240.0,IPS,0.5
765808,250803202,27.0,,165.0,IPS,1.0
767180,250804567,27.0,2560x1440,240.0,OLED,0.03
767196,250804583,23.8,1920 x 1080,100.0,IPS,1.0
767206,250804593,27.0,1920 x 1080,100.0,IPS,1.0
767259,250804646,,1920 x 1080,75.0,VA,4.0
768850,250806027,27.0,2K,75.0,IPS,1.0
768849,250806028,23.8,Full HD,200.0,IPS,0.3
770794,250807884,27.0,Full HD,120.0,IPS,1.0
771445,250808264,27.0,2K,180.0,IPS,0.5
771447,250808265,21.5,Full HD,100.0,IPS,4.0
771446,250808266,23.8,Full HD,144.0,IPS,0.5
771448,250808267,23.8,Full HD,240.0,IPS,0.3
771956,250808749,32.0,Full HD,60.0,VA,4.0
771962,250808750,21.5,Full HD,100.0,VA,5.0
771964,250808756,23.8,Full HD,144.0,IPS,1.0
771968,250808757,23.8,Full HD,120.0,IPS,5.0
771974,250808763,23.8,Full HD,240.0,IPS,0.5
771975,250808764,27.0,Full HD,120.0,IPS,5.0
771981,250808771,23.8,Full HD,240.0,IPS,0.5
771988,250808777,25.0,Full HD,100.0,IPS,1.0
771994,250808782,27.0,Full HD,146.0,IPS,1.0
771996,250808785,21.5,Full HD,100.0,IPS,4.0
772076,250808867,23.8,Full HD,120.0,IPS,4.0
772375,250809111,26.5,,240.0,OLED,0.03
772426,250809162,34.0,QHD,240.0,OLED,0.03
772434,250809169,27.0,,120.0,IPS,4.0
772448,250809183,27.0,2K,240.0,OLED,0.03
772455,250809190,27.0,2K,360.0,OLED,0.03
772462,250809197,27.0,2K,500.0,OLED,0.03
772971,250900400,24.5,Full HD,200.0,IPS,1.0
772969,250900401,27.0,Full HD,200.0,IPS,1.0
772970,250900402,24.5,Full HD,320.0,IPS,1.0
776661,250903966,,1920 x 1080,75.0,VA,4.0
776900,250904205,23.8,1920 x 1080,100.0,IPS,1.0
778950,250906238,49.0,QHD,240.0,OLED,0.03
778953,250906240,32.0,,240.0,OLED,0.03
778970,250906258,32.0,,240.0,OLED,0.03
778978,250906265,27.0,,240.0,OLED,0.03
778985,250906272,27.0,2K,500.0,OLED,0.03
778992,250906279,24.0,Full HD,120.0,IPS,1.0
778999,250906286,27.0,2K,320.0,IPS,1.0
780089,250907331,23.8,Full HD,240.0,IPS,0.5
781052,250908287,24.5,Full HD,240.0,IPS,0.3
781060,250908294,32.0,Full HD,,,8.0
781066,250908301,23.8,Full HD,100.0,IPS,5.0
781074,250908310,27.0,Full HD,100.0,IPS,5.0
784543,250911683,24.5,Full HD,144.0,IPS,1.0
784549,250911690,27.0,Full HD,144.0,IPS,1.0
